商品编码,SKU,颜色,尺码,库存数量,吊牌价格,零售价格
18N1035,18N10356629,牛仔蓝,29,3,149.00,149.00
18N1035,18N10356630,牛仔蓝,30,6,149.00,149.00
18N1035,18N10356631,牛仔蓝,31,4,149.00,149.00
18N1035,18N10356632,牛仔蓝,32,2,149.00,149.00
18N1035,18N10356633,牛仔蓝,33,4,149.00,149.00
18N1035,18N10356634,牛仔蓝,34,4,149.00,149.00
18N1035,18N10356636,牛仔蓝,36,3,149.00,149.00
18N1036,18N10366629,牛仔蓝,29,4,149.00,149.00
18N1036,18N10366630,牛仔蓝,30,6,149.00,149.00
18N1036,18N10366631,牛仔蓝,31,4,149.00,149.00
18N1036,18N10366632,牛仔蓝,32,3,149.00,149.00
18N1036,18N10366633,牛仔蓝,33,1,149.00,149.00
18N1036,18N10366634,牛仔蓝,34,3,149.00,149.00
18H1017,18H10170139,白色,39,2,159.00,159.00
18H1017,18H10170140,白色,40,3,159.00,159.00
18H1017,18H10170141,白色,41,3,159.00,159.00
18H1017,18H10170142,白色,42,3,159.00,159.00
18H1017,18H10170143,白色,43,2,159.00,159.00
8H1006,8H10060140,白色,40,2,159.00,159.00
8H1006,8H10060141,白色,41,2,159.00,159.00
8H1006,8H10060143,白色,43,2,159.00,159.00
18D5034,18D50341405,大红色,M,4,169.00,169.00
18D5034,18D50341406,大红色,L,3,169.00,169.00
18D5034,18D50341407,大红色,XL,2,169.00,169.00
18D5034,18D50344505,亮黄,M,5,169.00,169.00
18D5034,18D50344506,亮黄,L,4,169.00,169.00
18D5034,18D50344507,亮黄,XL,3,169.00,169.00
18H1005,18H10050139,白色,39,1,199.00,199.00
18H1005,18H10050140,白色,40,1,199.00,199.00
18H1005,18H10050141,白色,41,2,199.00,199.00
18H1005,18H10050142,白色,42,2,199.00,199.00
18H1005,18H10050143,白色,43,1,199.00,199.00
18H1005,18H10050939,黑色,39,1,199.00,199.00
18H1005,18H10050940,黑色,40,2,199.00,199.00
18H1005,18H10050941,黑色,41,1,199.00,199.00
18H1005,18H10050942,黑色,42,1,199.00,199.00
18H1005,18H10050943,黑色,43,1,199.00,199.00
